id,title,doi,publication_date,oa_url,pdf_path
2762087180,"Ferroptosis: A Regulated Cell Death Nexus Linking Metabolism, Redox Biology, and Disease",https://doi.org/10.1016/j.cell.2017.09.021,2017-10-01,http://www.cell.com/article/S009286741731070X/pdf,
2626354203,Diabetic Foot Ulcers and Their Recurrence,https://doi.org/10.1056/nejmra1615439,2017-06-15,None,
2585292421,Beyond the Turk: Alternative platforms for crowdsourcing behavioral research,https://doi.org/10.1016/j.jesp.2017.01.006,2017-05-01,https://repository.arizona.edu/bitstream/10150/623545/1/Brandimarte_Beyond_Turk.pdf,../database/content/2585292421/2585292421.pdf
2593224863,"Sloan Digital Sky Survey IV: Mapping the Milky Way, Nearby Galaxies, and the Distant Universe",https://doi.org/10.3847/1538-3881/aa7567,2017-06-29,https://doi.org/10.3847/1538-3881/aa7567,
2949380767,The Apache Point Observatory Galactic Evolution Experiment (APOGEE),https://doi.org/10.3847/1538-3881/aa784d,2017-08-14,https://iopscience.iop.org/article/10.3847/1538-3881/aa784d/pdf,
2557666746,"Rucaparib in relapsed, platinum-sensitive high-grade ovarian carcinoma (ARIEL2 Part 1): an international, multicentre, open-label, phase 2 trial",https://doi.org/10.1016/s1470-2045(16)30559-9,2017-01-01,http://manuscript.elsevier.com/S1470204516305599/pdf/S1470204516305599.pdf,
2581406049,Microbiota Transfer Therapy alters gut ecosystem and improves gastrointestinal and autism symptoms: an open-label study,https://doi.org/10.1186/s40168-016-0225-7,2017-01-23,https://microbiomejournal.biomedcentral.com/track/pdf/10.1186/s40168-016-0225-7,../database/content/2581406049/2581406049.pdf
2611695796,AASM Scoring Manual Updates for 2017 (Version 2.4),https://doi.org/10.5664/jcsm.6576,2017-05-15,https://jcsm.aasm.org/doi/pdf/10.5664/jcsm.6576,
2556211367,Service-dominant logic 2025,https://doi.org/10.1016/j.ijresmar.2016.11.001,2017-03-01,None,
2750514629,Mitochondrial energetics in the kidney,https://doi.org/10.1038/nrneph.2017.107,2017-08-14,https://europepmc.org/articles/pmc5965678?pdf=render,../database/content/2750514629/2750514629.pdf
2765476133,"The Electromagnetic Counterpart of the Binary Neutron Star Merger LIGO/Virgo GW170817. II. UV, Optical, and Near-infrared Light Curves and Comparison to Kilonova Models",https://doi.org/10.3847/2041-8213/aa8fc7,2017-10-16,https://iopscience.iop.org/article/10.3847/2041-8213/aa8fc7/pdf,
3098624753,Mind Your Ps and Qs: The Interrelation between Period (P) and Mass-ratio (Q) Distributions of Binary Stars,https://doi.org/10.3847/1538-4365/aa6fb6,2017-06-01,https://iopscience.iop.org/article/10.3847/1538-4365/aa6fb6/pdf,
2774444386,An 800-million-solar-mass black hole in a significantly neutral Universe at a redshift of 7.5,https://doi.org/10.1038/nature25180,2017-12-06,https://arxiv.org/pdf/1712.01860,../database/content/2774444386/2774444386.pdf
2727841424,A multi-species synthesis of physiological mechanisms in drought-induced tree mortality,https://doi.org/10.1038/s41559-017-0248-x,2017-08-07,https://www.osti.gov/biblio/1467333,
2775503072,The twilight of immunity: emerging concepts in aging of the immune system,https://doi.org/10.1038/s41590-017-0006-x,2017-12-14,None,
